"manuscript","signature","library"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/cgm_317/148v-152r","Cgm 317","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/lat._3803/17v-18r","lat. 3803","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/berlino/biblioteca_statale_berlinese_-_patrimonio_culturale_prussiano/diez._c_4°_63/24r-27r","Diez. C 4° 63","Biblioteca statale berlinese - Patrimonio culturale prussiano"
"https://imagoarchive.it/ontology/resources/manuscript/genova/biblioteca_universitaria_di_genova/a_iii_2/278r-281r","A III 2","Biblioteca universitaria di Genova"
"https://imagoarchive.it/ontology/resources/manuscript/wolfenbüttel/herzog_august_bibliothek/guelf._13.6/13r-14r","Guelf. 13.6","Herzog August Bibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/rouen/rouen,_bibliothèque_municipale/1343/186r-186v","1343","Rouen, Bibliothèque Municipale"
"https://imagoarchive.it/ontology/resources/manuscript/ravenna/biblioteca_comunale_classense/117/464-471","117","Biblioteca comunale Classense"
"https://imagoarchive.it/ontology/resources/manuscript/wolfenbüttel/herzog_august_bibliothek/guelf.205_helmst._(238)/103r-104v","Guelf.205 Helmst. (238)","Herzog August Bibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/beaune/beaune,_bibliothèque_municipale/ms._7/201v–202r","ms. 7","Beaune, Bibliothèque Municipale"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/università_di_harvard/riant_90/62r-66r","Riant 90","Università di Harvard"
"https://imagoarchive.it/ontology/resources/manuscript/graz/university_library_of_the_tu_graz/433/153r-156v","433","University library of the TU Graz"
"https://imagoarchive.it/ontology/resources/manuscript/città_del_vaticano/biblioteca_apostolica_vaticana/reg._lat._1658/63r-65v","Reg. Lat. 1658","Biblioteca Apostolica Vaticana"
"https://imagoarchive.it/ontology/resources/manuscript/olomouc/__olomouc,_státní_archív,_kapitulní_knihovna/co_412/334r-337v","CO 412","  Olomouc, Státní Archív, Kapitulní Knihovna"
"https://imagoarchive.it/ontology/resources/manuscript/barcellona/barcelona,_biblioteca_de_catalunya/271/26v–31r","271","Barcelona, Biblioteca de Catalunya"
"https://imagoarchive.it/ontology/resources/manuscript/orléans/orleans,_biblioteca_municipale/262/129r–133r","262","Orleans, Biblioteca Municipale"
"https://imagoarchive.it/ontology/resources/manuscript/wolfenbüttel/herzog_august_bibliothek/guelf._11/205v-207v","Guelf. 11","Herzog August Bibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/cambridge/corpus_christi_college/ms._59/28r-31v","ms. 59","Corpus Christi College"
"https://imagoarchive.it/ontology/resources/manuscript/el_escorial/__el_escorial,_real_biblioteca_de_san_lorenzo_/l.iii.22/28r-35r","L.III.22","  El Escorial, Real Biblioteca de San Lorenzo "
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_19695/194r-201r","Clm 19695","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/londra/british_library/40r-42r/all","40r-42r","British Library"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_22377/212r-214r","Clm 22377","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/monaco_di_baviera/bayerische_staatsbibliothek/clm_8485/63v-66v","Clm 8485","Bayerische Staatsbibliothek"
"https://imagoarchive.it/ontology/resources/manuscript/gottinga/göttingen_state_and_university_library/histor._808/1r-4r","Histor. 808","Göttingen State and University Library"
"https://imagoarchive.it/ontology/resources/manuscript/itacha/ithaca_(new_york),_cornell_university_library/bdd._rare_bx_b51/171v-172v","Bdd. Rare BX B51","Ithaca (New York), Cornell University Library"
"https://imagoarchive.it/ontology/resources/manuscript/berlino/biblioteca_statale_berlinese_-_patrimonio_culturale_prussiano/lat._qu._557/126v–134r","lat. qu. 557","Biblioteca statale berlinese - Patrimonio culturale prussiano"
"https://imagoarchive.it/ontology/resources/manuscript/parigi/bibliothèque_nationale_de_france/nouvelles_acquisitions_lat.1112/131r-136v","Nouvelles Acquisitions Lat.1112","Bibliothèque nationale de France"
"https://imagoarchive.it/ontology/resources/manuscript/dublino/trinity_college/448/204v-209r","448","Trinity College"
"https://imagoarchive.it/ontology/resources/manuscript/treviri/municipal_library_trier/hs._523/56/19r-20v","Hs. 523/56","Municipal Library Trier"
